Serial,Nest 1
Model,7370-2346
Date,5/11/2026 11:32:53 AM
Time,12.277
Description,Value,Result,Time,Details,Errors
Main,,P,12.277 s,,
Continuity Test,,P,2.199 s,,
K7 CORTO,,P,0.062 s,,
    value,12.3620767593384 v,,,,
F90 F91,,P,0.047 s,,
    value,0.00231569050811231 v,,,,
F22,,P,0.047 s,,
    value,12.9941253662109 v,,,,
F38,,P,0.047 s,,
    value,12.99134349823 v,,,,
F34,,P,0.047 s,,
    value,12.994026184082 v,,,,
F24,,P,0.062 s,,
    value,12.9892072677612 v,,,,
F20,,P,0.047 s,,
    value,12.9932804107666 v,,,,
F15,,P,0.047 s,,
    value,12.9904489517212 v,,,,
F35,,P,0.046 s,,
    value,12.984884262085 v,,,,
F6,,P,0.047 s,,
    value,12.9959135055542 v,,,,
F26 Depopulated,,P,0.063 s,,
    value,0.63713538646698 v,,,,
F23,,P,0.046 s,,
    value,12.9922866821289 v,,,,
F10,,P,0.047 s,,
    value,12.9897031784058 v,,,,
F2,,P,0.047 s,,
    value,12.9915418624878 v,,,,
F12,,P,0.047 s,,
    value,12.9924364089966 v,,,,
F14,,P,0.062 s,,
    value,12.9883623123169 v,,,,
F4,,P,0.047 s,,
    value,12.9916906356812 v,,,,
F59,,P,0.047 s,,
    value,12.9922866821289 v,,,,
F21B,,P,0.047 s,,
    value,12.9947214126587 v,,,,
F52,,P,0.046 s,,
    value,12.992883682251 v,,,,
F30,,P,0.063 s,,
    value,12.9908962249756 v,,,,
F46,,P,0.047 s,,
    value,12.9901504516602 v,,,,
F50,,P,0.046 s,,
    value,12.9912939071655 v,,,,
F60 Depopulated,,P,0.047 s,,
    value,0.627546846866608 v,,,,
F27,,P,0.047 s,,
    value,12.9936285018921 v,,,,
F104,,P,0.062 s,,
    value,12.9897537231445 v,,,,
F31,,P,0.047 s,,
    value,12.9923362731934 v,,,,
F39,,P,0.047 s,,
    value,12.9886598587036 v,,,,
F11,,P,0.047 s,,
    value,12.9926347732544 v,,,,
F47 Depopulated,,P,0.047 s,,
    value,0.621485710144043 v,,,,
F32,,P,0.062 s,,
    value,12.9940757751465 v,,,,
F41,,P,0.047 s,,
    value,12.9922370910645 v,,,,
F71,,P,0.047 s,,
    value,12.9940757751465 v,,,,
F5,,P,0.046 s,,
    value,0.0042035891674459 v,,,,
F49,,P,0.047 s,,
    value,12.9896535873413 v,,,,
F16,,P,0.063 s,,
    value,12.9916906356812 v,,,,
F33,,P,0.046 s,,
    value,12.990647315979 v,,,,
F48 Depopulated,,P,0.047 s,,
    value,0.625758290290833 v,,,,
F45 Depopulated,,P,0.047 s,,
    value,0.636588871479034 v,,,,
F18,,P,0.062 s,,
    value,12.9934301376343 v,,,,
F1,,P,0.047 s,,
    value,12.9910449981689 v,,,,
Voltage Drop and Relay ON OFF Time Test,,P,9.719 s,,
F98 Time Load On,,P,0.000 s,,
K15 Time_on,,P,,,
    Time,4.3040 ms,,,,
K15 Time_off,,P,,,
    Time,2.4960 ms,,,,
F98 Time Load Off,,P,,,
F98,,P,0.063 s,,
    value,0.0567556582391262 v,,,,
F97,,P,0.046 s,,
    value,0.0456269942224026 v,,,,
F95,,P,0.047 s,,
    value,0.0484588406980038 v,,,,
F96,,P,0.047 s,,
    value,0.0644562989473343 v,,,,
K15 Off Test,,P,0.031 s,,
    Current,-0.00301752 ,,,,
F13,,P,0.062 s,,
    value,0.0318155251443386 v,,,,
K16 Off Test,,P,0.016 s,,
    Current,0.02236124 ,,,,
F85 Time Load On,,P,0.000 s,,
K12 Time_on,,P,0.000 s,,
    Time,8.9787 ms,,,,
K12 Time_off,,P,,,
    Time,8.3360 ms,,,,
F85 Time Load Off,,P,,,
F85,,P,0.047 s,,
    value,0.0323620215058327 v,,,,
F100,,P,0.046 s,,
    value,0.0449314527213573 v,,,,
F101,,P,0.047 s,,
    value,0.0421989671885967 v,,,,
F102,,P,0.063 s,,
    value,0.0336537435650826 v,,,,
F103,,P,0.046 s,,
    value,0.0363365449011326 v,,,,
K12 Off Test,,P,0.016 s,,
    Current,0.03313097 ,,,,
F13 Off K16 Off,,P,0.047 s,,
    value,7.36346864700317 v,,,,
