Serie,000000000
Modelo,7370-2379
Fecha,5/5/2026 1:26:07 PM
Tiempo,5.694
Descripción,Valor,Resultado,Tiempo,Detalles,Errores
Main,,P,5.694 s,,
Conecta Gnd,,P,,,
Apaga Relay  2 Gray Owl,,P,,,
Apaga Relay 3 Gray Owl,,P,,,
Continuity Test,,P,1.529 s,,
PF1,,P,0.047 s,,
    value,13.0220127105713 v,,,,
PF2,,P,0.031 s,,
    value,13.0239009857178 v,,,,
PF3,,P,0.031 s,,
    value,13.0186338424683 v,,,,
PF4,,P,0.031 s,,
    value,13.0221118927002 v,,,,
PF5,,P,0.032 s,,
    value,13.0232553482056 v,,,,
Checa PF6,,P,0.140 s,,
Voltaje PF7 On,,P,0.046 s,,
PF6,,P,0.047 s,,
    value,12.9927406311035 v,,,,
Voltaje PF7 Off,,P,0.047 s,,
Checa PF7,,P,0.140 s,,
Voltaje PF8 On,,P,0.047 s,,
PF7,,P,0.031 s,,
    value,12.9920949935913 v,,,,
Voltaje PF8 Off,,P,0.062 s,,
Checa PF8,,P,0.125 s,,
Voltaje PF6 On,,P,0.047 s,,
PF8,,P,0.031 s,,
    value,12.9891624450684 v,,,,
Voltaje PF6 Off,,P,0.047 s,,
Voltaje Alterno On,,P,0.156 s,,
Voltaje PF6 On,,P,0.063 s,,
Voltaje PF7 On,,P,0.046 s,,
Voltaje PF8 On,,P,0.047 s,,
F12,,P,0.031 s,,
    value,12.9893617630005 v,,,,
F13,,P,0.032 s,,
    value,12.9876222610474 v,,,,
F62,,P,0.046 s,,
    value,13.0439291000366 v,,,,
F52,,P,0.032 s,,
    value,12.9893617630005 v,,,,
F19,,P,0.031 s,,
    value,12.9880695343018 v,,,,
J51 Voltage On,,P,0.031 s,,
J51 Voltage Off,,P,0.031 s,,
F46,,P,0.031 s,,
    value,12.9916973114014 v,,,,
F50,,P,0.032 s,,
    value,12.9896097183228 v,,,,
F06,,P,0.031 s,,
    value,12.9886655807495 v,,,,
F11,,P,0.031 s,,
    value,12.9897594451904 v,,,,
F64,,P,0.047 s,,
    value,12.9863796234131 v,,,,
F44,,P,0.031 s,,
    value,12.9891128540039 v,,,,
F40,,P,0.031 s,,
    value,12.9883680343628 v,,,,
F08,,P,0.031 s,,
    value,12.9890632629395 v,,,,
F10,,P,0.032 s,,
    value,12.9882183074951 v,,,,
F28,,P,0.031 s,,
    value,12.987174987793 v,,,,
F38,,P,0.047 s,,
    value,13.0352821350098 v,,,,
F07,,P,0.031 s,,
    value,12.9888153076172 v,,,,
F20,,P,0.031 s,,
    value,12.9876222610474 v,,,,
Voltage Drop and Relay ON OFF,,P,3.619 s,,
F25,,P,0.047 s,,
    value,0.0420009009540081 v,,,,
F25 Output On,,P,,,
K8 On Test Current,,P,0.015 s,,
    Current,3.844476 ,,,,
F25,,P,0.031 s,,
    value,12.3998985290527 v,,,,
K8 Off Test,,P,0.015 s,,
    Current,0.3568127 ,,,,
F30,,P,0.031 s,,
    value,1.09549009799957 v,,,,
F30 Output On,,P,,,
K7 On Test Current,,P,0.031 s,,
    Current,3.843621 ,,,,
F30,,P,0.031 s,,
    value,12.3946800231934 v,,,,
K7 Off Test,,P,0.032 s,,
    Current,0.3581687 ,,,,
F27,,P,0.031 s,,
    value,1.20999324321747 v,,,,
F27 Output On,,P,,,
K10 On Test Current,,P,0.031 s,,
    Current,3.908418 ,,,,
F32,,P,0.031 s,,
    value,1.05677568912506 v,,,,
F37,,P,0.031 s,,
    value,1.15015745162964 v,,,,
F27 Voltage Off,,P,0.031 s,,
    value,12.3903074264526 v,,,,
K10 Off Test,,P,0.031 s,,
    Current,0.3579797 ,,,,
F32 Voltage Off,,P,0.031 s,,
    value,12.4023838043213 v,,,,
F37 Voltage Off,,P,0.032 s,,
    value,12.3864307403564 v,,,,
F33 Output,,P,0.062 s,,
    value,0.289097249507904 v,,,,
F33 Output On,,P,,,
K12 On Test Current,,P,0.031 s,,
    Current,3.911844 ,,,,
K12 Output Off,,P,0.031 s,,
    value,12.3832998275757 v,,,,
K12 Off Test,,P,0.032 s,,
    Current,0.3564609 ,,,,
F67 Output,,P,0.031 s,,
    value,0.682205080986023 v,,,,
F16 Output,,P,0.032 s,,
    value,0.672961294651031 v,,,,
F67 Output On,,P,,,
K22 On Test Current,,P,0.031 s,,
    Current,3.845083 ,,,,
K22 Output Off,,P,0.031 s,,
    value,12.3821563720703 v,,,,
K22 Off Test,,P,0.031 s,,
    Current,0.3565098 ,,,,
K9 ON,,P,0.000 s,,
F26 Voltage On,,P,0.063 s,,
    value,1.2157084941864 v,,,,
F26 Output On,,P,0.000 s,,
K9 On Test Current,,P,0.031 s,,
    Current,3.907121 ,,,,
F36 Voltage On,,P,0.031 s,,
    value,1.14697670936584 v,,,,
F31 Voltage On,,P,0.031 s,,
    value,1.05394291877747 v,,,,
F26,,P,0.031 s,,
    value,12.9679918289185 v,,,,
F36,,P,0.031 s,,
    value,12.9705762863159 v,,,,
F31,,P,0.031 s,,
    value,12.9705762863159 v,,,,
K9 Off Test,,P,0.031 s,,
    Current,0.3576293 ,,,,
K1 Output,,P,0.032 s,,
    value,1.05911147594452 v,,,,
K1 Output On,,P,0.000 s,,
K1 On Test Current,,P,0.031 s,,
    Current,3.994369 ,,,,
K1 Output Off,,P,0.047 s,,
    value,12.3921957015991 v,,,,
K1 Off Test,,P,0.015 s,,
    Current,0.3560868 ,,,,
K19 Output,,P,0.031 s,,
    value,1.07436859607697 v,,,,
K19 Output On,,P,0.000 s,,
K19 On Test Current,,P,0.016 s,,
    Current,3.904 ,,,,
K19 Output Off,,P,0.031 s,,
    value,12.3078088760376 v,,,,
K19 Off Test,,P,0.032 s,,
    Current,0.3560462 ,,,,
F4,,P,0.031 s,,
    value,1.25233566761017 v,,,,
F24,,P,0.031 s,,
    value,1.24095487594604 v,,,,
F4 Output On,,P,,,
K6 On Test Current,,P,0.031 s,,
    Current,3.909295 ,,,,
F04,,P,0.047 s,,
    value,12.3889656066895 v,,,,
F24,,P,0.031 s,,
    value,12.391152381897 v,,,,
K6 Off Test,,P,0.016 s,,
    Current,0.354683 ,,,,
F61,,P,0.031 s,,
    value,1.08743906021118 v,,,,
F61 Output On,,P,,,
K16 On Test Current,,P,0.032 s,,
    Current,3.841085 ,,,,
