Serial,Numero_Parte,Prueba,Limit_Inf,Limit_Sup,Salida_Real,Tiempo,Estatus
261661596,7371-0199-30,Main_Set Power Supply 1 Current,,,3,23:59:04,Pasa
261661596,7371-0199-30,Main_Set Power Supply 2 Current,,,3,23:59:04,Pasa
261661596,7371-0199-30,Main_Power Supply 1 Output On,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Power Supply 2 Output On,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Set Power Supply 1 Voltage,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Set Power Supply 2 Voltage,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Bussbar 1 On,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Bussbar 2 On,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_GND RELAY On,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_GND COILY On,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Read All Channels,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB2_31 F64,0,1,0.005,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JE_18 F5,0,1,0.005,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JE_33 F21R,0,1,0.025,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB1_16 F86,0,1,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB2_23 F63,0,1,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB1_26 F69,0,1,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB2_15 F55,0,1,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB1_36 F52,0,1,0.01,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JC_28 F11,0,1,0.005,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JE_21 F42,0,1,0.02,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB2_20 F87,0,1,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB2_5 F62,12.5,14.5,12.95499992,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JE_44 F26,0,1,0.01,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JC_30 F39,0,1,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB2_28 F88,0,1,0.005,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JC13 F12,0,1,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB2_38 F57,0,1,0.025,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB2_44 K5NC,0,1,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB2_46 K6NC,0,1,0.02,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB2_48 K6NO,0,1,0.005,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JC23 F33L,0,1,0.01,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 1_Check JB1_38 F89,0,1,0.005,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 2_Check JB2_34 F782,0,1,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 2_Check JE-28 F37,0,1,0.01,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 2_Check JB2_2 F71,0,1,0.02,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_Short Circuit Check_Read Channels Milvus 2_Check JE_3 F41,0,1,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F20 JE_2,,,-0.000595595,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F04 JE_1,,,0.001191221,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F24 JE_18,,,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F36 JE_20,,,-0.00238238,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F07 JE_38_F07 JE_38,,,0.007147324,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F07 JE_38_Set Output for ELoad,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F07 JE_38_Delay,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F07 JE_38_Clear Output for ELoad,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F19 JC_2,,,0,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F49 JC_1,,,-0.004169165,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F49 JB1_3,,,-0.000595595,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F40 JC_15,,,-0.01072071,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F13 JC_19,,,-0.004169165,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F34 JC_16,,,-0.00238238,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F28 JC_17,,,-0.000595595,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F01 JC_48_F01 JC_48,,,-0.015485469,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F01 JC_48_Set Output for ELoad,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F01 JC_48_Delay,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F01 JC_48_Measure Voltaje in ELoad,,,12.49440002,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F01 JC_48_Clear Output for ELoad,,,,23:59:04,Pasa
261661596,7371-0199-30,Main_Continuity Test_F2 JC_37,,,-0.01072071,23:59:04,Pasa
