Serie,000000000
Modelo,7370-2379
Fecha,5/5/2026 1:25:41 PM
Tiempo,5.741
Descripción,Valor,Resultado,Tiempo,Detalles,Errores
Main,,P,5.741 s,,
Conecta Gnd,,P,0.000 s,,
Apaga Relay  2 Gray Owl,,P,0.000 s,,
Apaga Relay 3 Gray Owl,,P,0.000 s,,
Continuity Test,,P,1.529 s,,
PF1,,P,0.031 s,,
    value,13.0227088928223 v,,,,
PF2,,P,0.031 s,,
    value,13.0202236175537 v,,,,
PF3,,P,0.031 s,,
    value,13.0232553482056 v,,,,
PF4,,P,0.032 s,,
    value,13.0269327163696 v,,,,
PF5,,P,0.031 s,,
    value,13.0260877609253 v,,,,
Checa PF6,,P,0.140 s,,
Voltaje PF7 On,,P,0.047 s,,
PF6,,P,0.046 s,,
    value,12.9918966293335 v,,,,
Voltaje PF7 Off,,P,0.047 s,,
Checa PF7,,P,0.141 s,,
Voltaje PF8 On,,P,0.047 s,,
PF7,,P,0.031 s,,
    value,12.9927911758423 v,,,,
Voltaje PF8 Off,,P,0.063 s,,
Checa PF8,,P,0.124 s,,
Voltaje PF6 On,,P,0.046 s,,
PF8,,P,0.032 s,,
    value,12.9920454025269 v,,,,
Voltaje PF6 Off,,P,0.046 s,,
Voltaje Alterno On,,P,0.156 s,,
Voltaje PF6 On,,P,0.063 s,,
Voltaje PF7 On,,P,0.047 s,,
Voltaje PF8 On,,P,0.046 s,,
F12,,P,0.032 s,,
    value,12.9896593093872 v,,,,
F13,,P,0.031 s,,
    value,12.989013671875 v,,,,
F62,,P,0.031 s,,
    value,13.0476570129395 v,,,,
F52,,P,0.047 s,,
    value,12.9877214431763 v,,,,
F19,,P,0.031 s,,
    value,12.9888153076172 v,,,,
J51 Voltage On,,P,0.031 s,,
J51 Voltage Off,,P,0.031 s,,
F46,,P,0.032 s,,
    value,12.9907531738281 v,,,,
F50,,P,0.031 s,,
    value,12.9905548095703 v,,,,
F06,,P,0.031 s,,
    value,12.9905548095703 v,,,,
F11,,P,0.031 s,,
    value,12.9898586273193 v,,,,
F64,,P,0.047 s,,
    value,12.9868764877319 v,,,,
F44,,P,0.031 s,,
    value,12.9886159896851 v,,,,
F40,,P,0.031 s,,
    value,12.9878702163696 v,,,,
F08,,P,0.032 s,,
    value,12.9860811233521 v,,,,
F10,,P,0.031 s,,
    value,12.9888153076172 v,,,,
F28,,P,0.031 s,,
    value,12.9877214431763 v,,,,
F38,,P,0.031 s,,
    value,13.035927772522 v,,,,
F07,,P,0.047 s,,
    value,12.9896097183228 v,,,,
F20,,P,0.031 s,,
    value,12.9882183074951 v,,,,
Voltage Drop and Relay ON OFF,,P,3.666 s,,
F25,,P,0.031 s,,
    value,0.0400626957416534 v,,,,
F25 Output On,,P,,,
K8 On Test Current,,P,0.031 s,,
    Current,3.84353 ,,,,
F25,,P,0.047 s,,
    value,12.3940343856812 v,,,,
K8 Off Test,,P,0.016 s,,
    Current,0.3579587 ,,,,
F30,,P,0.063 s,,
    value,1.05891263484955 v,,,,
F30 Output On,,P,,,
K7 On Test Current,,P,0.031 s,,
    Current,3.844003 ,,,,
F30,,P,0.031 s,,
    value,12.396369934082 v,,,,
K7 Off Test,,P,0.031 s,,
    Current,0.356557 ,,,,
F27,,P,0.031 s,,
    value,1.1352481842041 v,,,,
F27 Output On,,P,,,
K10 On Test Current,,P,0.031 s,,
    Current,3.908762 ,,,,
F32,,P,0.032 s,,
    value,1.05960845947266 v,,,,
F37,,P,0.046 s,,
    value,1.05607986450195 v,,,,
F27 Voltage Off,,P,0.031 s,,
    value,12.3898601531982 v,,,,
K10 Off Test,,P,0.032 s,,
    Current,0.3565218 ,,,,
F32 Voltage Off,,P,0.031 s,,
    value,12.4270334243774 v,,,,
F37 Voltage Off,,P,0.031 s,,
    value,12.3872756958008 v,,,,
F33 Output,,P,0.078 s,,
    value,0.403103470802307 v,,,,
F33 Output On,,P,0.000 s,,
K12 On Test Current,,P,0.016 s,,
    Current,3.911298 ,,,,
K12 Output Off,,P,0.031 s,,
    value,12.4110307693481 v,,,,
K12 Off Test,,P,0.032 s,,
    Current,0.3567118 ,,,,
F67 Output,,P,0.063 s,,
    value,0.339192390441895 v,,,,
F16 Output,,P,0.031 s,,
    value,0.429641991853714 v,,,,
F67 Output On,,P,0.015 s,,
K22 On Test Current,,P,0.031 s,,
    Current,3.844061 ,,,,
K22 Output Off,,P,0.047 s,,
    value,12.4301643371582 v,,,,
K22 Off Test,,P,0.015 s,,
    Current,0.3566266 ,,,,
K9 ON,,P,0.000 s,,
F26 Voltage On,,P,0.031 s,,
    value,1.17629837989807 v,,,,
F26 Output On,,P,,,
K9 On Test Current,,P,0.031 s,,
    Current,3.90645 ,,,,
F36 Voltage On,,P,0.047 s,,
    value,1.1545307636261 v,,,,
F31 Voltage On,,P,0.031 s,,
    value,1.05384349822998 v,,,,
F26,,P,0.047 s,,
    value,12.9727125167847 v,,,,
F36,,P,0.031 s,,
    value,12.9695320129395 v,,,,
F31,,P,0.031 s,,
    value,12.9684886932373 v,,,,
K9 Off Test,,P,0.032 s,,
    Current,0.3564633 ,,,,
K1 Output,,P,0.031 s,,
    value,1.06323635578156 v,,,,
K1 Output On,,P,,,
K1 On Test Current,,P,0.031 s,,
    Current,3.99417 ,,,,
K1 Output Off,,P,0.031 s,,
    value,12.3925437927246 v,,,,
K1 Off Test,,P,0.031 s,,
    Current,0.3571292 ,,,,
K19 Output,,P,0.047 s,,
    value,1.07024371623993 v,,,,
K19 Output On,,P,0.000 s,,
K19 On Test Current,,P,0.016 s,,
    Current,3.906046 ,,,,
K19 Output Off,,P,0.031 s,,
    value,12.3119840621948 v,,,,
K19 Off Test,,P,0.031 s,,
    Current,0.3585693 ,,,,
F4,,P,0.032 s,,
    value,1.22768557071686 v,,,,
F24,,P,0.031 s,,
    value,1.2312638759613 v,,,,
F4 Output On,,P,,,
K6 On Test Current,,P,0.031 s,,
    Current,3.912898 ,,,,
F04,,P,0.031 s,,
    value,12.3870763778687 v,,,,
F24,,P,0.047 s,,
    value,12.3934879302979 v,,,,
K6 Off Test,,P,0.015 s,,
    Current,0.357097 ,,,,
F61,,P,0.031 s,,
    value,1.28314816951752 v,,,,
F61 Output On,,P,0.000 s,,
K16 On Test Current,,P,0.031 s,,
    Current,3.843351 ,,,,
F61,,P,0.031 s,,
    value,12.3871259689331 v,,,,
K16 Off Test,,P,0.032 s,,
    Current,0.3584926 ,,,,
F47,,P,0.062 s,,
    value,1.07024371623993 v,,,,
F47 Output On,,P,0.000 s,,
K14 On Test Current,,P,0.031 s,,
    Current,3.844081 ,,,,
F47,,P,0.047 s,,
    value,12.3964691162109 v,,,,
K14 Off Test,,P,0.015 s,,
    Current,0.356978 ,,,,
F66,,P,0.031 s,,
    value,1.05821692943573 v,,,,
F66 Output On,,P,,,
K18 On Test Current,,P,0.031 s,,
    Current,3.843365 ,,,,
F66,,P,0.031 s,,
    value,12.3960218429565 v,,,,
K18 Off Test,,P,0.032 s,,
    Current,0.3575524 ,,,,
F65,,P,0.031 s,,
    value,1.26605212688446 v,,,,
F65 Output On,,P,,,
K24 On Test Current,,P,0.031 s,,
    Current,3.905489 ,,,,
F66,,P,0.047 s,,
    value,12.3962211608887 v,,,,
K24 Off Test,,P,0.015 s,,
    Current,0.3566771 ,,,,
F17,,P,0.031 s,,
    value,1.0509113073349 v,,,,
F17 Output On,,P,0.000 s,,
K23 On Test Current,,P,0.031 s,,
    Current,3.841996 ,,,,
F17,,P,0.031 s,,
    value,12.3953266143799 v,,,,
K23 Off Test,,P,0.031 s,,
    Current,0.3576452 ,,,,
F20 K5,,P,0.032 s,,
    value,1.26441216468811 v,,,,
F20 K5 Output On,,P,0.000 s,,
K5 On Test Current,,P,0.031 s,,
    Current,3.905328 ,,,,
F20 K5,,P,0.046 s,,
    value,12.3923444747925 v,,,,
K5 Off Test,,P,0.016 s,,
    Current,0.3565998 ,,,,
F22,,P,0.031 s,,
    value,1.32131588459015 v,,,,
F22 Output On,,P,,,
K2 On Test Current,,P,0.031 s,,
    Current,3.911028 ,,,,
F22,,P,0.031 s,,
    value,12.3944320678711 v,,,,
K2 Off Test,,P,0.031 s,,
    Current,0.3565988 ,,,,
Diodos,,P,0.390 s,,
Conecta Vbat a Gnd,,P,0.203 s,,
Prende Relay  2 Gray Owl,,P,,,
Prende Relay 3 Gray Owl,,P,0.203 s,,
Prueba D1,,P,0.031 s,,
D1 Output On,,P,,,
Measure D1,,P,0.031 s,,
    value,0.628631055355072 v,,,,
D1 Output Off,,P,,,
Prueba D2,,P,0.047 s,,
D2 Output On,,P,0.016 s,,
Measure D2,,P,0.031 s,,
    value,12.1994190216064 v,,,,
D2 Output Off,,P,,,
Conecta Gnd,,P,,,
Apaga Relay  2 Gray Owl,,P,,,
Apaga Relay 3 Gray Owl,,P,,,
Voltaje Alterno Apagado,,P,0.156 s,,
Voltaje PF6 Off,,P,0.047 s,,
Voltaje PF7 Off,,P,0.062 s,,
Voltaje PF8 Off,,P,0.047 s,,
