Serial,Nest 1
Model,7370-2346
Date,5/14/2026 4:40:46 PM
Time,12.293
Description,Value,Result,Time,Details,Errors
Main,,P,12.293 s,,
Continuity Test,,P,2.184 s,,
K7 CORTO,,P,0.047 s,,
    value,12.3521900177002 v,,,,
F90 F91,,P,0.047 s,,
    value,0.0036074104718864 v,,,,
F22,,P,0.047 s,,
    value,12.9932308197021 v,,,,
F38,,P,0.046 s,,
    value,12.9934301376343 v,,,,
F34,,P,0.063 s,,
    value,12.9923868179321 v,,,,
F24,,P,0.047 s,,
    value,12.9909954071045 v,,,,
F20,,P,0.046 s,,
    value,12.9926347732544 v,,,,
F15,,P,0.047 s,,
    value,12.9926843643188 v,,,,
F35,,P,0.047 s,,
    value,12.9921379089355 v,,,,
F6,,P,0.062 s,,
    value,12.9937772750854 v,,,,
F26 Depopulated,,P,0.047 s,,
    value,0.634949386119843 v,,,,
F23,,P,0.047 s,,
    value,12.9911937713623 v,,,,
F10,,P,0.047 s,,
    value,12.993727684021 v,,,,
F2,,P,0.047 s,,
    value,12.9862260818481 v,,,,
F12,,P,0.062 s,,
    value,12.9919891357422 v,,,,
F14,,P,0.047 s,,
    value,12.9918403625488 v,,,,
F4,,P,0.047 s,,
    value,12.9913930892944 v,,,,
F59,,P,0.046 s,,
    value,12.9926347732544 v,,,,
F21B,,P,0.047 s,,
    value,12.993727684021 v,,,,
F52,,P,0.063 s,,
    value,12.9920387268066 v,,,,
F30,,P,0.046 s,,
    value,12.9937772750854 v,,,,
F46,,P,0.047 s,,
    value,12.9929828643799 v,,,,
F50,,P,0.047 s,,
    value,12.9911937713623 v,,,,
F60 Depopulated,,P,0.047 s,,
    value,0.630229651927948 v,,,,
F27,,P,0.062 s,,
    value,12.9931316375732 v,,,,
F104,,P,0.047 s,,
    value,12.9900512695313 v,,,,
F31,,P,0.047 s,,
    value,12.9932308197021 v,,,,
F39,,P,0.047 s,,
    value,12.992883682251 v,,,,
F11,,P,0.046 s,,
    value,12.9907970428467 v,,,,
F47 Depopulated,,P,0.063 s,,
    value,0.621038556098938 v,,,,
F32,,P,0.047 s,,
    value,12.9941253662109 v,,,,
F41,,P,0.046 s,,
    value,12.994026184082 v,,,,
F71,,P,0.047 s,,
    value,12.9944229125977 v,,,,
F5,,P,0.063 s,,
    value,0.00335900275968015 v,,,,
F49,,P,0.046 s,,
    value,12.9923868179321 v,,,,
F16,,P,0.047 s,,
    value,12.9931812286377 v,,,,
F33,,P,0.047 s,,
    value,12.9938764572144 v,,,,
F48 Depopulated,,P,0.047 s,,
    value,0.621286988258362 v,,,,
F45 Depopulated,,P,0.062 s,,
    value,0.635942995548248 v,,,,
F18,,P,0.047 s,,
    value,12.9951686859131 v,,,,
F1,,P,0.047 s,,
    value,12.9923362731934 v,,,,
Voltage Drop and Relay ON OFF Time Test,,P,9.672 s,,
F98 Time Load On,,P,0.000 s,,
K15 Time_on,,P,,,
    Time,5.3787 ms,,,,
K15 Time_off,,P,0.000 s,,
    Time,2.2613 ms,,,,
F98 Time Load Off,,P,0.000 s,,
F98,,P,0.063 s,,
    value,0.0679340064525604 v,,,,
F97,,P,0.047 s,,
    value,0.0861671268939972 v,,,,
F95,,P,0.046 s,,
    value,0.0614754036068916 v,,,,
F96,,P,0.063 s,,
    value,0.0535760372877121 v,,,,
K15 Off Test,,P,0.015 s,,
    Current,-0.003359674 ,,,,
F13,,P,0.047 s,,
    value,0.038919985294342 v,,,,
K16 Off Test,,P,0.032 s,,
    Current,0.02167129 ,,,,
F85 Time Load On,,P,,,
K12 Time_on,,P,,,
    Time,9.9147 ms,,,,
K12 Time_off,,P,0.000 s,,
    Time,7.9413 ms,,,,
F85 Time Load Off,,P,0.000 s,,
F85,,P,0.047 s,,
    value,0.0335046984255314 v,,,,
F100,,P,0.063 s,,
    value,0.0387709401547909 v,,,,
F101,,P,0.046 s,,
    value,0.110858850181103 v,,,,
F102,,P,0.047 s,,
    value,0.0360881388187408 v,,,,
F103,,P,0.047 s,,
    value,0.0359390936791897 v,,,,
K12 Off Test,,P,0.031 s,,
    Current,0.03474126 ,,,,
F13 Off K16 Off,,P,0.047 s,,
    value,7.37424945831299 v,,,,
measure K16,,P,0.016 s,,
    Current,0.3094314 ,,,,
F13 On K16 On,,P,0.047 s,,
    value,0.0368333607912064 v,,,,
CB1 Time Load On,,P,,,
K6 Time_on,,P,0.000 s,,
    Time,4.1840 ms,,,,
K6 Time_off,,P,,,
    Time,2.8240 ms,,,,
CB1 Time Load Off,,P,,,
CB1,,P,0.047 s,,
    value,0.226964607834816 v,,,,
F66,,P,0.046 s,,
    value,0.233472883701324 v,,,,
F65,,P,0.047 s,,
    value,0.254438489675522 v,,,,
K6 Off Test,,P,0.015 s,,
    Current,-0.003820439 ,,,,
F90 F91,,P,0.047 s,,
    value,0.125018090009689 v,,,,
F92,,P,0.046 s,,
    value,0.133513629436493 v,,,,
K14 Off Test,,P,0.016 s,,
    Current,-0.003765816 ,,,,
F77,,P,0.047 s,,
    value,0.144691973924637 v,,,,
F76,,P,0.063 s,,
    value,0.15437987446785 v,,,,
F78A,,P,0.046 s,,
    value,0.137885600328445 v,,,,
F75,,P,0.047 s,,
    value,0.278931498527527 v,,,,
K8 Off Test,,P,0.016 s,,
    Current,-0.003646808 ,,,,
ConfPowerVbat1,,P,,,
ConfPowerVbat2,,P,,,
Gray Owl Channel On,,P,0.063 s,,
ConfPowerVbat3,,P,,,
K7 Off Test,,P,0.016 s,,
    Current,0.017567 ,,,,
K4,,P,0.281 s,,
Gray Owl Channel On,,P,0.062 s,,
F7&JC_21,,P,0.046 s,,
    value,0.636737942695618 v,,,,
F8 Cernicalo On,,P,,,
K4 Off Test,,P,0.015 s,,
    Current,0.04020064 ,,,,
Gray Owl Channel Off,,P,0.063 s,,
Gray Owl Channel Off,,P,0.062 s,,
F62 Time Load On,,P,0.000 s,,
K23 Time_on,,P,,,
    Time,2.2000 ms,,,,
K23 Time_off,,P,,,
    Time,2.3547 ms,,,,
F62 Time Load Off,,P,,,
F62,,P,0.047 s,,
    value,0.0632142573595047 v,,,,
K23 Off Test,,P,0.016 s,,
    Current,0.006023856 ,,,,
Gray Owl Channel On,,P,0.062 s,,
F58,,P,0.047 s,,
    value,0.302232146263123 v,,,,
K22 Off Test,,P,0.015 s,,
    Current,0.006325468 ,,,,
Gray Owl Channel Off,,P,0.078 s,,
K29 ON GRayOwl,,P,0.047 s,,
F70,,P,0.047 s,,
    value,0.15969580411911 v,,,,
K29 Off Test,,P,0.016 s,,
    Current,0.003690828 ,,,,
F9,,P,0.062 s,,
    value,0.345256328582764 v,,,,
K9 Off Test,,P,0.016 s,,
    Current,0.004461526 ,,,,
K9 COil Off,,P,0.046 s,,
K29 GRayOwl Off,,P,0.063 s,,
Gray Owl Channel On,,P,0.047 s,,
F74,,P,0.062 s,,
    value,0.202421918511391 v,,,,
Gray Owl Channel Off,,P,0.047 s,,
K33 Off Test,,P,0.016 s,,
    Current,-0.003619748 ,,,,
Gray Owl Channel Off,,P,0.062 s,,
F64 Time Load On,,P,0.000 s,,
K5 Time_on,,P,,,
    Time,4.2960 ms,,,,
K5 Time_off,,P,0.000 s,,
    Time,2.7813 ms,,,,
F64 Time Load Off,,P,0.000 s,,
F64,,P,0.062 s,,
    value,0.0211339946836233 v,,,,
F56,,P,0.047 s,,
    value,0.203813001513481 v,,,,
K5 Off Test,,P,0.015 s,,
    Current,0.009070113 ,,,,
K30NA Time Load On,,P,,,
