Serie,000000000
Modelo,7370-2379
Fecha,5/4/2026 7:09:35 AM
Tiempo,5.741
Descripción,Valor,Resultado,Tiempo,Detalles,Errores
Main,,P,5.741 s,,
Conecta Gnd,,P,,,
Apaga Relay  2 Gray Owl,,P,,,
Apaga Relay 3 Gray Owl,,P,,,
Continuity Test,,P,1.529 s,,
PF1,,P,0.031 s,,
    value,13.0232553482056 v,,,,
PF2,,P,0.031 s,,
    value,13.0234537124634 v,,,,
PF3,,P,0.031 s,,
    value,13.0205221176147 v,,,,
PF4,,P,0.031 s,,
    value,13.0244979858398 v,,,,
PF5,,P,0.032 s,,
    value,13.0234537124634 v,,,,
Checa PF6,,P,0.140 s,,
Voltaje PF7 On,,P,0.062 s,,
PF6,,P,0.031 s,,
    value,12.9945802688599 v,,,,
Voltaje PF7 Off,,P,0.047 s,,
Checa PF7,,P,0.140 s,,
Voltaje PF8 On,,P,0.047 s,,
PF7,,P,0.047 s,,
    value,12.9947290420532 v,,,,
Voltaje PF8 Off,,P,0.046 s,,
Checa PF8,,P,0.141 s,,
Voltaje PF6 On,,P,0.047 s,,
PF8,,P,0.031 s,,
    value,12.9914493560791 v,,,,
Voltaje PF6 Off,,P,0.063 s,,
Voltaje Alterno On,,P,0.140 s,,
Voltaje PF6 On,,P,0.047 s,,
Voltaje PF7 On,,P,0.046 s,,
Voltaje PF8 On,,P,0.047 s,,
F12,,P,0.047 s,,
    value,12.9899082183838 v,,,,
F13,,P,0.031 s,,
    value,12.9888648986816 v,,,,
F62,,P,0.031 s,,
    value,13.0467128753662 v,,,,
F52,,P,0.032 s,,
    value,12.9903059005737 v,,,,
F19,,P,0.031 s,,
    value,12.988715171814 v,,,,
J51 Voltage On,,P,0.031 s,,
J51 Voltage Off,,P,0.031 s,,
F46,,P,0.031 s,,
    value,12.9917469024658 v,,,,
F50,,P,0.032 s,,
    value,12.991250038147 v,,,,
F06,,P,0.046 s,,
    value,12.9874229431152 v,,,,
F11,,P,0.032 s,,
    value,12.9903554916382 v,,,,
F64,,P,0.031 s,,
    value,12.9863796234131 v,,,,
F44,,P,0.031 s,,
    value,12.9901571273804 v,,,,
F40,,P,0.031 s,,
    value,12.988715171814 v,,,,
F08,,P,0.031 s,,
    value,12.9902067184448 v,,,,
F10,,P,0.032 s,,
    value,12.9878702163696 v,,,,
F28,,P,0.031 s,,
    value,12.9911508560181 v,,,,
F38,,P,0.047 s,,
    value,13.036524772644 v,,,,
F07,,P,0.031 s,,
    value,12.9918966293335 v,,,,
F20,,P,0.031 s,,
    value,12.9875230789185 v,,,,
Voltage Drop and Relay ON OFF,,P,3.666 s,,
F25,,P,0.047 s,,
    value,0.0405099727213383 v,,,,
F25 Output On,,P,,,
K8 On Test Current,,P,0.015 s,,
    Current,3.83791 ,,,,
F25,,P,0.031 s,,
    value,12.3924942016602 v,,,,
K8 Off Test,,P,0.015 s,,
    Current,0.3521971 ,,,,
F30,,P,0.031 s,,
    value,1.03247356414795 v,,,,
F30 Output On,,P,,,
K7 On Test Current,,P,0.031 s,,
    Current,3.838424 ,,,,
F30,,P,0.031 s,,
    value,12.3982591629028 v,,,,
K7 Off Test,,P,0.032 s,,
    Current,0.3526794 ,,,,
F27,,P,0.046 s,,
    value,1.19776773452759 v,,,,
F27 Output On,,P,,,
K10 On Test Current,,P,0.016 s,,
    Current,3.90287 ,,,,
F32,,P,0.047 s,,
    value,1.02775228023529 v,,,,
F37,,P,0.031 s,,
    value,1.01830971240997 v,,,,
F27 Voltage Off,,P,0.031 s,,
    value,12.3895120620728 v,,,,
K10 Off Test,,P,0.031 s,,
    Current,0.3525724 ,,,,
F32 Voltage Off,,P,0.031 s,,
    value,12.3849897384644 v,,,,
F37 Voltage Off,,P,0.032 s,,
    value,12.3882694244385 v,,,,
F33 Output,,P,0.063 s,,
    value,0.249090686440468 v,,,,
