Serie,000000000
Modelo,7370-2379
Fecha,5/4/2026 7:10:26 AM
Tiempo,5.678
Descripción,Valor,Resultado,Tiempo,Detalles,Errores
Main,,P,5.678 s,,
Conecta Gnd,,P,,,
Apaga Relay  2 Gray Owl,,P,,,
Apaga Relay 3 Gray Owl,,P,,,
Continuity Test,,P,1.529 s,,
PF1,,P,0.046 s,,
    value,13.0237522125244 v,,,,
PF2,,P,0.032 s,,
    value,13.0259389877319 v,,,,
PF3,,P,0.031 s,,
    value,13.0228576660156 v,,,,
PF4,,P,0.031 s,,
    value,13.0268335342407 v,,,,
PF5,,P,0.031 s,,
    value,13.0261878967285 v,,,,
Checa PF6,,P,0.141 s,,
Voltaje PF7 On,,P,0.063 s,,
PF6,,P,0.031 s,,
    value,12.9935855865479 v,,,,
Voltaje PF7 Off,,P,0.047 s,,
Checa PF7,,P,0.140 s,,
Voltaje PF8 On,,P,0.046 s,,
PF7,,P,0.032 s,,
    value,12.9935359954834 v,,,,
Voltaje PF8 Off,,P,0.062 s,,
Checa PF8,,P,0.125 s,,
Voltaje PF6 On,,P,0.047 s,,
PF8,,P,0.031 s,,
    value,12.9911508560181 v,,,,
Voltaje PF6 Off,,P,0.047 s,,
Voltaje Alterno On,,P,0.156 s,,
Voltaje PF6 On,,P,0.062 s,,
Voltaje PF7 On,,P,0.047 s,,
Voltaje PF8 On,,P,0.047 s,,
F12,,P,0.031 s,,
    value,12.9899082183838 v,,,,
F13,,P,0.031 s,,
    value,12.9889144897461 v,,,,
F62,,P,0.047 s,,
    value,13.0449237823486 v,,,,
F52,,P,0.031 s,,
    value,12.9905548095703 v,,,,
F19,,P,0.031 s,,
    value,12.9899578094482 v,,,,
J51 Voltage On,,P,0.032 s,,
J51 Voltage Off,,P,0.031 s,,
F46,,P,0.031 s,,
    value,12.9913988113403 v,,,,
F50,,P,0.031 s,,
    value,12.990852355957 v,,,,
F06,,P,0.031 s,,
    value,12.9904546737671 v,,,,
F11,,P,0.032 s,,
    value,12.991250038147 v,,,,
F64,,P,0.046 s,,
    value,12.9864292144775 v,,,,
F44,,P,0.032 s,,
    value,12.9902563095093 v,,,,
F40,,P,0.031 s,,
    value,12.9900074005127 v,,,,
F08,,P,0.031 s,,
    value,12.9916477203369 v,,,,
F10,,P,0.031 s,,
    value,12.9894609451294 v,,,,
F28,,P,0.031 s,,
    value,12.9901065826416 v,,,,
F38,,P,0.032 s,,
    value,13.036226272583 v,,,,
F07,,P,0.031 s,,
    value,12.9900074005127 v,,,,
F20,,P,0.047 s,,
    value,12.9878702163696 v,,,,
Voltage Drop and Relay ON OFF,,P,3.588 s,,
F25,,P,0.032 s,,
    value,0.0386711619794369 v,,,,
F25 Output On,,P,0.000 s,,
