Serie,000000000
Modelo,7370-2379
Fecha,5/5/2026 1:25:16 PM
Tiempo,5.772
Descripción,Valor,Resultado,Tiempo,Detalles,Errores
Main,,P,5.772 s,,
Conecta Gnd,,P,0.000 s,,
Apaga Relay  2 Gray Owl,,P,0.000 s,,
Apaga Relay 3 Gray Owl,,P,0.000 s,,
Continuity Test,,P,1.607 s,,
PF1,,P,0.047 s,,
    value,13.0251436233521 v,,,,
PF2,,P,0.031 s,,
    value,13.0247459411621 v,,,,
PF3,,P,0.031 s,,
    value,13.0267343521118 v,,,,
PF4,,P,0.031 s,,
    value,13.0255908966064 v,,,,
PF5,,P,0.032 s,,
    value,13.0251932144165 v,,,,
Checa PF6,,P,0.140 s,,
Voltaje PF7 On,,P,0.046 s,,
PF6,,P,0.047 s,,
    value,12.9945802688599 v,,,,
Voltaje PF7 Off,,P,0.047 s,,
Checa PF7,,P,0.140 s,,
Voltaje PF8 On,,P,0.047 s,,
PF7,,P,0.031 s,,
    value,12.9935855865479 v,,,,
Voltaje PF8 Off,,P,0.062 s,,
Checa PF8,,P,0.125 s,,
Voltaje PF6 On,,P,0.047 s,,
PF8,,P,0.031 s,,
    value,12.9900074005127 v,,,,
Voltaje PF6 Off,,P,0.047 s,,
Voltaje Alterno On,,P,0.156 s,,
Voltaje PF6 On,,P,0.063 s,,
Voltaje PF7 On,,P,0.046 s,,
Voltaje PF8 On,,P,0.047 s,,
F12,,P,0.031 s,,
    value,12.9892625808716 v,,,,
F13,,P,0.047 s,,
    value,12.9884672164917 v,,,,
F62,,P,0.031 s,,
    value,13.045768737793 v,,,,
F52,,P,0.047 s,,
    value,12.989013671875 v,,,,
F19,,P,0.031 s,,
    value,12.9880199432373 v,,,,
J51 Voltage On,,P,0.032 s,,
J51 Voltage Off,,P,0.031 s,,
F46,,P,0.047 s,,
    value,12.9913492202759 v,,,,
F50,,P,0.031 s,,
    value,12.9895105361938 v,,,,
F06,,P,0.031 s,,
    value,12.9854354858398 v,,,,
F11,,P,0.047 s,,
    value,12.9920454025269 v,,,,
F64,,P,0.031 s,,
    value,12.9862804412842 v,,,,
F44,,P,0.047 s,,
    value,12.9892120361328 v,,,,
F40,,P,0.031 s,,
    value,12.9891624450684 v,,,,
F08,,P,0.031 s,,
    value,12.9884672164917 v,,,,
F10,,P,0.047 s,,
    value,12.9878702163696 v,,,,
F28,,P,0.031 s,,
    value,12.9895601272583 v,,,,
F38,,P,0.047 s,,
    value,13.0393571853638 v,,,,
F07,,P,0.031 s,,
    value,12.9887647628784 v,,,,
F20,,P,0.031 s,,
    value,12.9876718521118 v,,,,
Voltage Drop and Relay ON OFF,,P,3.619 s,,
F25,,P,0.031 s,,
    value,0.041702713817358 v,,,,
F25 Output On,,P,,,
K8 On Test Current,,P,0.031 s,,
    Current,3.84509 ,,,,
F25,,P,0.031 s,,
    value,12.3948793411255 v,,,,
K8 Off Test,,P,0.031 s,,
    Current,0.3571962 ,,,,
F30,,P,0.063 s,,
    value,1.11715817451477 v,,,,
F30 Output On,,P,0.000 s,,
K7 On Test Current,,P,0.031 s,,
    Current,3.84443 ,,,,
F30,,P,0.047 s,,
    value,12.3954257965088 v,,,,
K7 Off Test,,P,0.015 s,,
    Current,0.3570885 ,,,,
F27,,P,0.031 s,,
    value,1.42632687091827 v,,,,
F27 Output On,,P,,,
K10 On Test Current,,P,0.031 s,,
    Current,3.908167 ,,,,
F32,,P,0.031 s,,
    value,1.10915696620941 v,,,,
F37,,P,0.032 s,,
    value,1.22867953777313 v,,,,
F27 Voltage Off,,P,0.032 s,,
    value,12.388916015625 v,,,,
K10 Off Test,,P,0.031 s,,
    Current,0.3571256 ,,,,
F32 Voltage Off,,P,0.031 s,,
    value,12.3887662887573 v,,,,
F37 Voltage Off,,P,0.031 s,,
    value,12.386082649231 v,,,,
F33 Output,,P,0.062 s,,
    value,0.330594718456268 v,,,,
F33 Output On,,P,,,
K12 On Test Current,,P,0.016 s,,
    Current,3.91317 ,,,,
K12 Output Off,,P,0.032 s,,
    value,12.38454246521 v,,,,
K12 Off Test,,P,0.031 s,,
    Current,0.3554253 ,,,,
F67 Output,,P,0.062 s,,
    value,0.470145493745804 v,,,,
F16 Output,,P,0.031 s,,
    value,0.459460526704788 v,,,,
F67 Output On,,P,,,
K22 On Test Current,,P,0.031 s,,
    Current,3.843962 ,,,,
